method,seed_track_id,playlist_pairwise_similarity,playlist_adjacent_similarity,playlist_seed_genre_fraction,playlist_monotonic_drift_fraction,playlist_final_seed_distance,random_pairwise_similarity,random_adjacent_similarity,random_seed_genre_fraction,random_monotonic_drift_fraction,random_final_seed_distance
classification_embedding,disco/disco.00068,0.8322527408599854,0.9318759441375732,0.7,1.0,0.3912680745124817,0.4342960685491562,0.43775947093963624,0.192,0.56,0.5684508728981018
classification_embedding,disco/disco.00035,0.8755795955657959,0.9718965888023376,0.2,1.0,0.3922174572944641,0.41431354701519013,0.40684264481067656,0.17399999999999996,0.54,0.5939228498935699
classification_embedding,disco/disco.00090,0.8391768336296082,0.934838593006134,0.9,1.0,0.4095759391784668,0.42812650978565214,0.41563475400209426,0.16799999999999998,0.5644444444444445,0.5591052901744843
classification_embedding,disco/disco.00014,0.8518122434616089,0.9357013702392578,1.0,1.0,0.38222765922546387,0.4186633449792862,0.42018742978572843,0.17999999999999997,0.5577777777777778,0.5399784648418426
classification_embedding,disco/disco.00086,0.8711804747581482,0.9377787709236145,1.0,1.0,0.37734949588775635,0.4235546261072159,0.4102114450931549,0.206,0.5777777777777778,0.5250368809700012
classification_embedding,hiphop/hiphop.00070,0.8622934222221375,0.96230149269104,0.4,1.0,0.3961779475212097,0.4056720685958862,0.41042258977890017,0.16599999999999998,0.5888888888888888,0.6350460314750671
classification_embedding,hiphop/hiphop.00081,0.8470338582992554,0.9612119197845459,0.7,1.0,0.43730485439300537,0.42892407774925234,0.4198991513252258,0.19400000000000003,0.5333333333333333,0.5226742208003998
classification_embedding,hiphop/hiphop.00020,0.8657007813453674,0.9468915462493896,1.0,1.0,0.33499497175216675,0.4280608397722244,0.4406678068637848,0.18799999999999997,0.5777777777777778,0.524238669872284
classification_embedding,hiphop/hiphop.00062,0.8735120296478271,0.9675500392913818,0.3,1.0,0.35763317346572876,0.41881205797195437,0.41614927649497985,0.182,0.5533333333333335,0.5743142950534821
classification_embedding,hiphop/hiphop.00089,0.8192126154899597,0.9370920658111572,0.9,0.8888888888888888,0.3526170253753662,0.41822363197803497,0.41209699243307113,0.20999999999999996,0.5888888888888889,0.5696987092494965
classification_embedding,hiphop/hiphop.00098,0.799846887588501,0.9394057393074036,0.6,0.7777777777777778,0.4347831606864929,0.40716895878314974,0.40635931611061094,0.168,0.5755555555555556,0.5864425277709961
classification_embedding,hiphop/hiphop.00041,0.8463780879974365,0.9520172476768494,0.5,0.8888888888888888,0.4355310797691345,0.42258586347103116,0.4218586069345474,0.18,0.5644444444444444,0.6152199804782867
classification_embedding,hiphop/hiphop.00015,0.8797633051872253,0.9553044438362122,1.0,0.8888888888888888,0.2900910973548889,0.4465971726179123,0.4460258996486664,0.17800000000000002,0.5622222222222222,0.5697855520248413
classification_embedding,hiphop/hiphop.00052,0.859632134437561,0.9634546637535095,0.4,1.0,0.3546040654182434,0.4049870127439499,0.42102542638778684,0.19199999999999995,0.54,0.5535043597221374
classification_embedding,hiphop/hiphop.00030,0.8425608277320862,0.9473961591720581,1.0,1.0,0.40705549716949463,0.4256641530990601,0.4327900052070618,0.21400000000000002,0.5688888888888889,0.5859133076667785
classification_embedding,jazz/jazz.00063,0.7900183796882629,0.9132626056671143,0.9,0.8888888888888888,0.4958378076553345,0.4043789219856262,0.4204023826122284,0.20199999999999996,0.528888888888889,0.7376598548889161
classification_embedding,jazz/jazz.00025,0.7921003699302673,0.9186229705810547,1.0,0.8888888888888888,0.5308458805084229,0.39767590403556824,0.4061884468793869,0.198,0.5444444444444445,0.6711297249794006
classification_embedding,jazz/jazz.00000,0.8324817419052124,0.9336117506027222,1.0,0.7777777777777778,0.43207377195358276,0.43243937730789184,0.4268570065498352,0.16399999999999998,0.5622222222222222,0.5673849141597748
classification_embedding,jazz/jazz.00019,0.7152084112167358,0.9110888242721558,0.6,1.0,0.5394941568374634,0.39565641403198243,0.3930784279108048,0.21000000000000008,0.56,0.6075128161907196
classification_embedding,jazz/jazz.00021,0.7593823075294495,0.8941722512245178,0.1,1.0,0.6043473482131958,0.40252566158771513,0.40050697028636933,0.17799999999999996,0.5533333333333333,0.6895201575756073
classification_embedding,jazz/jazz.00013,0.7879231572151184,0.9307798743247986,0.4,1.0,0.5094203948974609,0.40541712880134584,0.42056586742401125,0.20400000000000001,0.5622222222222222,0.6422328746318817
classification_embedding,jazz/jazz.00060,0.8270232081413269,0.9309635162353516,0.9,0.8888888888888888,0.4691005349159241,0.40995600998401643,0.41693452060222624,0.20400000000000001,0.5666666666666667,0.6224673843383789
classification_embedding,jazz/jazz.00080,0.7959273457527161,0.9171448945999146,0.9,1.0,0.5231074690818787,0.3986465471982956,0.4002860689163208,0.188,0.5622222222222222,0.6926470875740052
classification_embedding,jazz/jazz.00099,0.8218379616737366,0.9323696494102478,1.0,0.8888888888888888,0.5258008241653442,0.4029819130897522,0.3918528896570206,0.18599999999999997,0.5466666666666667,0.6222466206550599
classification_embedding,jazz/jazz.00079,0.830903947353363,0.9418389797210693,1.0,0.8888888888888888,0.43984586000442505,0.40326873898506166,0.4222297993302345,0.182,0.5533333333333333,0.6848288285732269
classification_embedding,metal/metal.00023,0.7655518651008606,0.9460311532020569,0.5,0.8888888888888888,0.46381229162216187,0.424958353638649,0.41795837730169294,0.204,0.5577777777777778,0.6084413421154022
